BOOTSTRAP 3;https://www.w3schools.com/bootstrap/exercise_bs3.asp;https://www.w3schools.com/bootstrap/default.asp;54;.html;BS3;BS
Tables;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_tables;https://www.w3schools.com/bootstrap/bootstrap_tables.asp;6;;;
Images;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_images;https://www.w3schools.com/bootstrap/bootstrap_images.asp;4;;;
Alerts;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_alerts;https://www.w3schools.com/bootstrap/bootstrap_alerts.asp;3;;;
Buttons;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_buttons;https://www.w3schools.com/bootstrap/bootstrap_buttons.asp;8;;;
Glyphicons;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_glyphicons;https://www.w3schools.com/bootstrap/bootstrap_glyphicons.asp;2;;;
Badges;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_badges;https://www.w3schools.com/bootstrap/bootstrap_badges_labels.asp;3;;;
Progress Bar;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_progressbars;https://www.w3schools.com/bootstrap/bootstrap_progressbars.asp;4;;;
Pagination;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_pagination;https://www.w3schools.com/bootstrap/bootstrap_pagination.asp;5;;;
Panels;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_panels;https://www.w3schools.com/bootstrap/bootstrap_panels.asp;4;;;
Dropdowns;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_dropdowns;https://www.w3schools.com/bootstrap/bootstrap_dropdowns.asp;5;;;
Tabs;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_tabs;https://www.w3schools.com/bootstrap/bootstrap_tabs_pills.asp;6;;;
Navbars;https://www.w3schools.com/bootstrap/exercise_bs3.asp?filename=exercise_bs3_navbars;https://www.w3schools.com/bootstrap/bootstrap_navbar.asp;4;;;
